,UMAP_1,UMAP_2,file_name,class
1700,60.371456,-13.42411,basic-link_p_0_sw_1_0_s_1_0_cc_0,basic-link
1701,59.96558,-17.152006,basic-link_p_0_sw_1_0_s_1_0_cc_1,basic-link
1702,58.968452,-14.090656,basic-link_p_0_sw_1_0_s_1_0_cc_2,basic-link
1703,58.6223,-16.147394,basic-link_p_0_sw_1_0_s_1_0_oc,basic-link
1704,58.300976,-17.26471,basic-link_p_0_sw_1_0_s_1_2_cc_0,basic-link
1705,56.02748,-15.912613,basic-link_p_0_sw_1_0_s_1_2_cc_1,basic-link
1706,56.62572,-14.532888,basic-link_p_0_sw_1_0_s_1_2_cc_2,basic-link
1707,60.083076,-14.486902,basic-link_p_0_sw_1_0_s_1_2_oc,basic-link
1708,58.943798,-12.871115,basic-link_p_0_sw_1_2_s_0_7_cc_0,basic-link
1709,60.058475,-17.327318,basic-link_p_0_sw_1_2_s_0_7_cc_1,basic-link
1710,59.65615,-15.648955,basic-link_p_0_sw_1_2_s_0_7_cc_2,basic-link
1711,59.20136,-17.73876,basic-link_p_0_sw_1_2_s_0_7_oc,basic-link
1712,58.03164,-18.47939,basic-link_p_0_sw_1_2_s_1_0_cc_0,basic-link
1713,56.88984,-16.08126,basic-link_p_0_sw_1_2_s_1_0_cc_1,basic-link
1714,60.800316,-14.828615,basic-link_p_0_sw_1_2_s_1_0_cc_2,basic-link
1715,60.630665,-15.856772,basic-link_p_0_sw_1_2_s_1_0_oc,basic-link
1716,58.26466,-14.584649,basic-link_p_0_sw_1_2_s_1_2_cc_0,basic-link
1717,58.270844,-18.672674,basic-link_p_0_sw_1_2_s_1_2_cc_1,basic-link
1718,59.79321,-15.474686,basic-link_p_0_sw_1_2_s_1_2_cc_2,basic-link
1719,61.005478,-16.917267,basic-link_p_0_sw_1_2_s_1_2_oc,basic-link
1720,-58.86017,-14.401357,breast-SRR7890905,breast
1721,-59.608353,-10.272597,breast-SRR7890905_Hartwig,breast
1722,-52.60183,-13.829006,breast-b27d75ba-5989-4200-bfe9-f1b7d7cf8008,breast
1723,-54.604656,-13.460788,breast-fc8edf46-2005-1af4-e040-11ac0d481414,breast
1724,-43.71252,50.33099,breast_cancer_circular_s_0_5_cc_0,breast_cancer_circular
1725,-42.92618,49.58721,breast_cancer_circular_s_0_5_cc_1,breast_cancer_circular
1726,-41.031815,46.588615,breast_cancer_circular_s_0_5_cc_2,breast_cancer_circular
1727,-42.10344,49.89759,breast_cancer_circular_s_0_5_oc,breast_cancer_circular
1728,-41.98764,51.97259,breast_cancer_circular_s_0_7_cc_0,breast_cancer_circular
1729,-42.598064,50.82667,breast_cancer_circular_s_0_7_cc_1,breast_cancer_circular
1730,-38.95161,51.560314,breast_cancer_circular_s_0_7_cc_2,breast_cancer_circular
1731,-39.260136,48.458473,breast_cancer_circular_s_0_7_oc,breast_cancer_circular
1732,-43.124775,48.410835,breast_cancer_circular_s_1_0_cc_0,breast_cancer_circular
1733,-40.00944,52.69718,breast_cancer_circular_s_1_0_cc_1,breast_cancer_circular
1734,-43.052402,49.876266,breast_cancer_circular_s_1_0_cc_2,breast_cancer_circular
1735,-41.1993,48.78789,breast_cancer_circular_s_1_0_oc,breast_cancer_circular
1736,-40.24515,49.622517,breast_cancer_circular_s_1_2_cc_0,breast_cancer_circular
1737,-41.189606,49.398014,breast_cancer_circular_s_1_2_cc_1,breast_cancer_circular
1738,-40.638187,52.55678,breast_cancer_circular_s_1_2_cc_2,breast_cancer_circular
1739,-41.83545,51.71142,breast_cancer_circular_s_1_2_oc,breast_cancer_circular
1740,-38.05171,50.817837,breast_cancer_circular_s_2_0_cc_0,breast_cancer_circular
1741,-40.9084,52.66338,breast_cancer_circular_s_2_0_cc_1,breast_cancer_circular
1742,-41.389027,51.25735,breast_cancer_circular_s_2_0_cc_2,breast_cancer_circular
1743,-42.71745,47.927486,breast_cancer_circular_s_2_0_oc,breast_cancer_circular
1744,-18.206432,-64.32953,breast_cancer_sw_0_5_s_0_5_cc_0,breast_cancer
1745,-18.930616,-66.063255,breast_cancer_sw_0_5_s_0_5_cc_1,breast_cancer
1746,-15.645883,-67.71128,breast_cancer_sw_0_5_s_0_5_cc_2,breast_cancer
1747,-22.369143,-63.102543,breast_cancer_sw_0_5_s_0_5_oc,breast_cancer
1748,-15.54692,-67.34036,breast_cancer_sw_0_5_s_0_7_cc_0,breast_cancer
1749,-15.289039,-65.16983,breast_cancer_sw_0_5_s_0_7_cc_1,breast_cancer
1750,-17.846416,-69.561485,breast_cancer_sw_0_5_s_0_7_cc_2,breast_cancer
1751,-16.388802,-62.84498,breast_cancer_sw_0_5_s_0_7_oc,breast_cancer
1752,-20.854921,-66.2319,breast_cancer_sw_0_5_s_1_0_cc_0,breast_cancer
1753,-21.320776,-68.604,breast_cancer_sw_0_5_s_1_0_cc_1,breast_cancer
1754,-20.672813,-67.890495,breast_cancer_sw_0_5_s_1_0_cc_2,breast_cancer
1755,-19.796505,-65.874626,breast_cancer_sw_0_5_s_1_0_oc,breast_cancer
1756,-17.32055,-66.66778,breast_cancer_sw_0_5_s_1_2_cc_0,breast_cancer
1757,-21.95228,-65.69252,breast_cancer_sw_0_5_s_1_2_cc_1,breast_cancer
1758,-23.12387,-65.720116,breast_cancer_sw_0_5_s_1_2_cc_2,breast_cancer
1759,-15.231494,-64.34351,breast_cancer_sw_0_5_s_1_2_oc,breast_cancer
1760,-14.442505,-65.742714,breast_cancer_sw_0_5_s_2_0_cc_0,breast_cancer
1761,-15.115825,-66.48817,breast_cancer_sw_0_5_s_2_0_cc_1,breast_cancer
1762,-19.677053,-63.19406,breast_cancer_sw_0_5_s_2_0_cc_2,breast_cancer
1763,-21.94245,-67.737175,breast_cancer_sw_0_5_s_2_0_oc,breast_cancer
1764,-22.649626,-66.978935,breast_cancer_sw_0_7_s_0_5_cc_0,breast_cancer
1765,-18.895334,-68.95405,breast_cancer_sw_0_7_s_0_5_cc_1,breast_cancer
1766,-17.557035,-67.85329,breast_cancer_sw_0_7_s_0_5_cc_2,breast_cancer
1767,-18.99588,-68.81372,breast_cancer_sw_0_7_s_0_5_oc,breast_cancer
1768,-20.059141,-61.270035,breast_cancer_sw_0_7_s_0_7_cc_0,breast_cancer
1769,-17.513014,-63.64448,breast_cancer_sw_0_7_s_0_7_cc_1,breast_cancer
1770,-15.493403,-63.341896,breast_cancer_sw_0_7_s_0_7_cc_2,breast_cancer
1771,-22.341066,-65.92826,breast_cancer_sw_0_7_s_0_7_oc,breast_cancer
1772,-21.788208,-67.06627,breast_cancer_sw_0_7_s_1_0_cc_0,breast_cancer
1773,-19.431171,-68.543495,breast_cancer_sw_0_7_s_1_0_cc_1,breast_cancer
1774,-19.019466,-67.49492,breast_cancer_sw_0_7_s_1_0_cc_2,breast_cancer
1775,-18.033056,-62.422882,breast_cancer_sw_0_7_s_1_0_oc,breast_cancer
1776,-21.325031,-63.303734,breast_cancer_sw_0_7_s_1_2_cc_0,breast_cancer
1777,-19.126116,-63.195606,breast_cancer_sw_0_7_s_1_2_cc_1,breast_cancer
1778,-18.148865,-61.728497,breast_cancer_sw_0_7_s_1_2_cc_2,breast_cancer
1779,-17.945139,-64.99806,breast_cancer_sw_0_7_s_1_2_oc,breast_cancer
1780,-16.4286,-67.13194,breast_cancer_sw_0_7_s_2_0_cc_0,breast_cancer
1781,-22.621132,-63.937992,breast_cancer_sw_0_7_s_2_0_cc_1,breast_cancer
1782,-16.441961,-68.39631,breast_cancer_sw_0_7_s_2_0_cc_2,breast_cancer
1783,-21.9488,-63.523056,breast_cancer_sw_0_7_s_2_0_oc,breast_cancer
1784,-17.287237,-68.71518,breast_cancer_sw_1_0_s_0_5_cc_0,breast_cancer
1785,-21.693188,-62.45318,breast_cancer_sw_1_0_s_0_5_cc_1,breast_cancer
1786,-21.000483,-62.09862,breast_cancer_sw_1_0_s_0_5_cc_2,breast_cancer
1787,-21.817448,-65.27071,breast_cancer_sw_1_0_s_0_5_oc,breast_cancer
1788,-20.83143,-61.937847,breast_cancer_sw_1_0_s_0_7_cc_0,breast_cancer
1789,-21.601149,-63.987324,breast_cancer_sw_1_0_s_0_7_cc_1,breast_cancer
1790,-18.37093,-66.42723,breast_cancer_sw_1_0_s_0_7_cc_2,breast_cancer
1791,-21.301716,-65.81362,breast_cancer_sw_1_0_s_0_7_oc,breast_cancer
1792,-22.28225,-64.90246,breast_cancer_sw_1_0_s_1_0_cc_0,breast_cancer
1793,-19.8377,-61.671185,breast_cancer_sw_1_0_s_1_0_cc_1,breast_cancer
1794,-23.26619,-64.816185,breast_cancer_sw_1_0_s_1_0_cc_2,breast_cancer
1795,-19.85721,-65.02813,breast_cancer_sw_1_0_s_1_0_oc,breast_cancer
1796,-20.741972,-68.21141,breast_cancer_sw_1_0_s_1_2_cc_0,breast_cancer
1797,-17.214773,-62.225185,breast_cancer_sw_1_0_s_1_2_cc_1,breast_cancer
1798,-15.15638,-64.60772,breast_cancer_sw_1_0_s_1_2_cc_2,breast_cancer
1799,-16.93519,-63.516457,breast_cancer_sw_1_0_s_1_2_oc,breast_cancer
1800,-15.509307,-63.871693,breast_cancer_sw_1_0_s_2_0_cc_0,breast_cancer
1801,-22.549347,-67.39549,breast_cancer_sw_1_0_s_2_0_cc_1,breast_cancer
1802,-17.011526,-61.391285,breast_cancer_sw_1_0_s_2_0_cc_2,breast_cancer
1803,-20.720726,-62.856983,breast_cancer_sw_1_0_s_2_0_oc,breast_cancer
1804,-18.611,-63.54771,breast_cancer_sw_1_2_s_0_5_cc_0,breast_cancer
1805,-18.275446,-67.51205,breast_cancer_sw_1_2_s_0_5_cc_1,breast_cancer
1806,-19.073366,-69.4773,breast_cancer_sw_1_2_s_0_5_cc_2,breast_cancer
1807,-16.365105,-66.98945,breast_cancer_sw_1_2_s_0_5_oc,breast_cancer
1808,-15.059727,-65.902824,breast_cancer_sw_1_2_s_0_7_cc_0,breast_cancer
1809,-20.360723,-63.304962,breast_cancer_sw_1_2_s_0_7_cc_1,breast_cancer
1810,-16.056902,-64.66189,breast_cancer_sw_1_2_s_0_7_cc_2,breast_cancer
1811,-21.500597,-68.458145,breast_cancer_sw_1_2_s_0_7_oc,breast_cancer
1812,-16.511944,-64.786224,breast_cancer_sw_1_2_s_1_0_cc_0,breast_cancer
1813,-18.700264,-65.09877,breast_cancer_sw_1_2_s_1_0_cc_1,breast_cancer
1814,-19.450464,-66.764824,breast_cancer_sw_1_2_s_1_0_cc_2,breast_cancer
1815,-22.500772,-66.35854,breast_cancer_sw_1_2_s_1_0_oc,breast_cancer
1816,-17.099234,-69.02969,breast_cancer_sw_1_2_s_1_2_cc_0,breast_cancer
1817,-20.085226,-68.542725,breast_cancer_sw_1_2_s_1_2_cc_1,breast_cancer
1818,-16.535374,-65.87878,breast_cancer_sw_1_2_s_1_2_cc_2,breast_cancer
1819,-15.468695,-65.08426,breast_cancer_sw_1_2_s_1_2_oc,breast_cancer
