,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
183,183,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec_onehot,1
184,184,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec,1
185,185,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text,640
186,186,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text_0_2_4,650
187,187,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text_0_2_4_llm_fs_single,12
188,188,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,image,1568
189,189,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec_frequency,1
190,190,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec_onehot,1
191,191,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec,1
192,192,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text,663
193,193,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4,755
194,194,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4_llm_fs_single,123
195,195,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,image,489
196,196,overview-landing_cc_0_query2.json,specs,spec_frequency,1
197,197,overview-landing_cc_0_query2.json,specs,spec_onehot,1
198,198,overview-landing_cc_0_query2.json,specs,spec,298
199,199,overview-landing_cc_0_query2.json,specs,text,2588
200,200,overview-landing_cc_0_query2.json,specs,text_0_2_4,2570
201,201,overview-landing_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,1521
202,202,overview-landing_cc_0_query2.json,specs,image,834
203,203,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
204,204,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
205,205,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec,1
206,206,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text,1
207,207,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,686
208,208,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,1
209,209,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,image,1
210,210,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
211,211,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
212,212,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec,2
213,213,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text,258
214,214,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,420
